eventID	decimalLatitude	decimalLongitude
TAFIRI-2019.05.21-RUF02-A	-8.18884	36.69289
TAFIRI-2019.05.21-RUF03-A	-8.17793	36.69433
TAFIRI-2019.05.21-RUF04-A	-8.09444	36.67761
TAFIRI-2019.05.22-RUF02-B	-8.18884	36.69289
TAFIRI-2019.05.22-RUF02-C	-8.18897	36.69357
TAFIRI-2019.05.22-RUF03-B	-8.174	36.69369
TAFIRI-2019.05.22-RUF05-A	-8.13953	36.67393
TAFIRI-2019.05.23-RUF06-A	-8.08345	36.7101
TAFIRI-2019.05.23-RUF07-A	-7.8942	36.87226
TAFIRI-2019.05.23-RUF08-A	-7.6658	36.97702
TAFIRI-2020.07.01-RUF08-B	-7.661817	36.977117
TAFIRI-2020.07.01-RUF09-A	-7.72235	36.933417
TAFIRI-2020.07.01-RUF10-A	-8.1549	36.3896
TAFIRI-2020.07.01-RUF11-A	-8.19775	36.303783
TAFIRI-2020.07.02-RUF12-A	-8.620117	35.85345
TAFIRI-2020.07.02-RUF13-A	-8.61135	35.876867
TAFIRI-2020.07.02-RUF14-A	-8.5055	35.943183
TAFIRI-2020.07.02-RUF15-A	-8.434883	35.986033
TAFIRI-2020.07.02-RUF16-A	-8.4114	36.01165
TAFIRI-2020.07.03-RUF02-D	-8.189317	36.692517
TAFIRI-2020.07.03-RUF10-B	-8.1546	36.389967
TAFIRI-2020.07.03-RUF17-A	-8.34005	36.08435
TAFIRI-2020.07.03-RUF17-B	-8.338167	36.084667
TAFIRI-2020.07.03-RUF18-A	-8.3162	36.119967
TAFIRI-2020.07.03-RUF19-A	-8.10365	36.4887
TAFIRI-2020.07.04-RUF02-E	-8.18945	36.690433
TAFIRI-2020.07.04-RUF02-F	-8.19075	36.690433
TAFIRI-2020.07.04-RUF02-G	-8.189783	36.6944
TAFIRI-2020.07.04-RUF02-H	-8.189367	36.697833
TAFIRI-2020.07.04-RUF02-I	-8.1899	36.697583
TAFIRI-2020.07.04-RUF02-J	-8.19095	36.697583
TAFIRI-2020.07.04-RUF07-B	-7.895233	36.872233
TAFIRI-2020.07.04-RUF20-A	-8.093283	36.720628
TAFIRI-2020.07.23-RUF21-A	-7.842567	38.362167
TAFIRI-2020.07.23-RUF21-B	-7.8426	38.362167
TAFIRI-2020.07.23-RUF22-A	-7.867633	38.491333
TAFIRI-2020.07.23-RUF23-A	-7.9066	38.797533
TAFIRI-2020.07.23-RUF23-B	-7.914283	38.859883
TAFIRI-2020.07.23-RUF24-A	-7.9389	38.927683
TAFIRI-2020.07.24-RUF25-A	-7.99155	38.748017
TAFIRI-2020.07.24-RUF26-A	-7.98565	38.765883
TAFIRI-2020.07.24-RUF27-A	-8.007	38.7714
TAFIRI-2020.07.24-RUF28-A	-8.049066	38.878367
TAFIRI-2020.07.25-RUF29-A	-8.0115	38.9687
TAFIRI-2020.07.25-RUF29-B	-8.009772	38.972433
TAFIRI-2020.07.25-RUF29-C	-8.012983	38.967217
TAFIRI-2020.07.25-RUF30-A	-7.9743	38.989567
TAFIRI-2020.07.25-RUF31-A	-7.946183	38.997667
TAFIRI-2020.07.25-RUF32-A	-7.31085	39.0636
